task_id,people,timestamp,ground_id,location
615,1,2022-07-30 12:25:00,25111,YYZ
668,1,2022-07-30 12:30:00,25111,YYZ
812,1,2022-07-30 13:30:00,25111,YYZ
906,1,2022-07-30 13:40:00,25111,YYZ
969,1,2022-07-30 13:40:00,25111,YYZ
1001,1,2022-07-30 14:00:00,25111,YYZ
1095,1,2022-07-30 14:25:00,25111,YYZ
1201,1,2022-07-30 14:30:00,25111,YYZ
1311,1,2022-07-30 11:00:00,25111,YYZ
1313,1,2022-07-30 11:09:00,25111,YYZ
1322,1,2022-07-30 11:30:00,25111,YYZ
1336,1,2022-07-30 14:30:00,25111,YYZ
1338,1,2022-07-30 14:30:00,25111,YYZ
1356,1,2022-07-30 14:39:00,25111,YYZ
1376,1,2022-07-30 14:40:00,25111,YYZ
1381,1,2022-07-30 14:40:00,25111,YYZ
1383,1,2022-07-30 14:48:00,25111,YYZ
1396,1,2022-07-30 14:48:00,25111,YYZ
1402,1,2022-07-30 14:49:00,25111,YYZ
1425,1,2022-07-30 14:49:00,25111,YYZ
1429,1,2022-07-30 14:57:00,25111,YYZ
1437,1,2022-07-30 14:57:00,25111,YYZ
457,6,2022-07-30 16:05:00,25112,YVR
1327,1,2022-07-30 16:00:00,25112,YVR
1343,1,2022-07-30 16:09:00,25112,YVR
102,1,2022-07-30 08:50:00,25113,YUL
132,1,2022-07-30 11:00:00,25113,YUL
519,1,2022-07-30 11:00:00,25113,YUL
576,5,2022-07-30 11:00:00,25113,YUL
183,1,2022-07-30 12:45:00,25113,YUL
988,5,2022-07-30 09:52:00,25113,YUL
250,2,2022-07-30 12:45:00,25113,YUL
359,1,2022-07-30 12:45:00,25113,YUL
510,1,2022-07-30 12:45:00,25113,YUL
614,1,2022-07-30 12:45:00,25113,YUL
937,3,2022-07-30 06:30:00,25115,YVR
950,2,2022-07-30 11:00:00,25117,YYZ
107,2,2022-07-30 16:23:00,25118,YVR
326,3,2022-07-30 17:35:57.142857,25118,YVR
938,1,2022-07-30 16:30:00,25118,YVR
1227,1,2022-07-30 17:35:57.142857,25118,YVR
153,4,2022-07-31 11:00:00,25128,YYZ
184,4,2022-07-31 11:00:00,25128,YYZ
301,3,2022-07-31 11:00:00,25128,YYZ
478,2,2022-07-31 11:00:00,25128,YYZ
706,5,2022-07-31 12:15:00,25128,YYZ
1423,1,2022-07-31 12:20:00,25128,YYZ
193,2,2022-07-31 14:50:00,25129,YVR
1032,2,2022-07-31 18:05:00,25129,YVR
201,2,2022-07-31 13:20:00,25133,YVR
62,3,2022-07-31 13:20:00,25133,YVR
86,7,2022-07-31 13:20:00,25133,YVR
239,2,2022-07-31 14:28:34.285714,25133,YVR
297,5,2022-07-31 16:06:00,25133,YVR
61,2,2022-07-31 11:00:00,25138,YYZ
501,1,2022-07-31 11:00:00,25138,YYZ
545,1,2022-07-31 11:00:00,25138,YYZ
712,1,2022-07-31 12:00:00,25138,YYZ
755,1,2022-07-31 12:00:00,25138,YYZ
1243,1,2022-07-31 12:20:00,25138,YYZ
63,5,2022-07-31 14:30:00,25141,YVR
81,4,2022-07-31 11:50:00,25142,YUL
274,2,2022-07-31 11:50:00,25142,YUL
394,3,2022-07-31 12:45:00,25142,YUL
168,4,2022-07-31 12:45:00,25142,YUL
176,4,2022-07-31 12:45:00,25142,YUL
734,9,2022-07-31 13:50:00,25142,YUL
1141,1,2022-07-31 12:45:00,25142,YUL
65,5,2022-07-31 20:46:00,25150,YYZ
659,2,2022-07-31 20:46:00,25150,YYZ
792,1,2022-07-31 20:46:00,25150,YYZ
1340,1,2022-07-31 20:46:00,25150,YYZ
80,6,2022-07-31 11:25:00,25152,YUL
83,6,2022-07-31 11:25:00,25152,YUL
818,1,2022-07-31 11:35:00,25152,YUL
843,4,2022-07-31 11:35:00,25152,YUL
1345,1,2022-07-31 11:35:00,25152,YUL
208,3,2022-07-31 16:45:00,25154,YVR
533,3,2022-07-31 16:48:00,25154,YVR
1202,1,2022-07-31 16:48:00,25154,YVR
633,3,2022-07-31 16:54:00,25154,YVR
847,2,2022-07-31 16:54:00,25154,YVR
907,4,2022-07-31 17:24:00,25154,YVR
1274,3,2022-07-31 17:28:00,25154,YVR
514,5,2022-07-31 07:00:00,25157,YYZ
213,2,2022-07-31 19:45:00,25161,YYZ
1131,1,2022-07-31 19:45:00,25161,YYZ
1256,1,2022-07-31 19:45:00,25161,YYZ
708,1,2022-07-31 19:45:00,25161,YYZ
913,1,2022-07-31 19:45:00,25161,YYZ
216,2,2022-07-31 16:25:00,25164,YVR
1344,1,2022-07-31 16:28:34.285714,25164,YVR
1386,1,2022-07-31 16:28:34.285714,25164,YVR
1094,1,2022-07-31 18:05:00,25164,YVR
218,1,2022-07-31 11:00:00,25165,YYZ
794,1,2022-07-31 11:00:00,25165,YYZ
177,1,2022-07-31 11:00:00,25165,YYZ
282,1,2022-07-31 11:00:00,25165,YYZ
470,1,2022-07-31 11:00:00,25165,YYZ
573,1,2022-07-31 11:00:00,25165,YYZ
697,1,2022-07-31 11:00:00,25165,YYZ
883,1,2022-07-31 12:15:00,25165,YYZ
1147,1,2022-07-31 12:15:00,25165,YYZ
1189,1,2022-07-31 12:20:00,25165,YYZ
1359,1,2022-07-31 15:50:00,25172,YVR
220,5,2022-07-31 16:00:00,25173,YVR
1365,1,2022-07-31 15:59:00,25173,YVR
1392,1,2022-07-31 16:00:00,25173,YVR
1408,1,2022-07-31 16:08:00,25173,YVR
1417,1,2022-07-31 16:09:00,25173,YVR
1441,1,2022-07-31 16:17:00,25173,YVR
1444,2,2022-07-31 16:37:34.285714,25173,YVR
325,3,2022-08-01 10:55:00,25178,YUL
277,5,2022-08-01 10:55:00,25178,YUL
657,8,2022-08-01 11:00:00,25178,YUL
